tweet_id,name,party,state,text,date
t_1420027263169572882,Susan Wild,D,PA,"now: @housescience marking bill, regional innovation act —a bold investment innovation hubs that…","7/27/2021, 7:24:17 AM"
t_1420027261403680771,Liz Cheney,R,WY,leave violence january 6th – causes – uninvestigated. must know happened ca…,"7/27/2021, 7:24:16 AM"
t_1420027224800047111,Mary Scanlon,D,PA,tourists. january 6 peaceful protest. truth attack capitol alwa…,"7/27/2021, 7:24:07 AM"
t_1420027123784425480,Maria Salazar,R,FL,thank dear friend @repblakemoore #utah solidarity & support freedom-loving peopl…,"7/27/2021, 7:23:43 AM"
t_1420027014522753033,Brenda Lawrence,D,MI,"incredibly powerful testimony u.s. capitol police sergeant aquilino gonell: ""we asking medals e…","7/27/2021, 7:23:17 AM"
t_1420026954691092486,Mark Walker,R,NC,using power position influence business deals president biden hunter biden. birds feather…,"7/27/2021, 7:23:03 AM"
t_1420026826982891525,Young Kim,R,CA,"rt @hsbcgop: subcommittee ranking member @repyoungkim ⤵️ ""small businesses flexibility, agility, creativity overco…","7/27/2021, 7:22:33 AM"
t_1420026775145484293,Andy Biggs,R,AZ,rt @jim_jordan: what’s difference democrats never trumpers?,"7/27/2021, 7:22:20 AM"
t_1420026734720819210,Andy Biggs,R,AZ,rt @repboebert: gain function fauci highest paid federal employee. amendment h.r. 4502 pays he’s worth: $0.,"7/27/2021, 7:22:11 AM"
t_1420026637979095053,Chris Pappas,D,NH,"join tonight 6:30pm virtual jobs workforce resource fair featuring @nhesworking, @ccsnh603, nh…","7/27/2021, 7:21:47 AM"
t_1420026597785186316,Jared Huffman,D,CA,rt @davidcorndc: give @replizcheney credit. many people mouth cliche putting country ahead party—and don't. providin…,"7/27/2021, 7:21:38 AM"
t_1420026566508171276,Andy Biggs,R,AZ,rt @reppatfallon: nancy pelosi answer questions knew prior january 6th.,"7/27/2021, 7:21:30 AM"
t_1420026251952197638,James Comer,R,KY,"rt @repmikequigley: 2021, excuse agency reports easily accessible internet. house passed my…","7/27/2021, 7:20:15 AM"
t_1420026236500385798,Lucille Roybal-Allard,D,CA,congress decide money goes prioritize budget? watch video learn more:,"7/27/2021, 7:20:12 AM"
t_1420026165717315598,Stacey Plaskett,D,VI,rt @teampelosi: must truth.,"7/27/2021, 7:19:55 AM"
t_1420026160986066947,Dwight Evans,D,PA,rt @repharris: folks please aware. irs will contact via phone demand payments. will contact tell your…,"7/27/2021, 7:19:54 AM"
t_1420026156254998539,Tim Scott,R,SC,"saddened wake today news friend, senator mike enzi, passed away… pray god wraps h…","7/27/2021, 7:19:53 AM"
t_1420026156854693906,Lucille Roybal-Allard,D,CA,"today, house begins consideration h.r. 4502, seven-bill ""minibus"" spending package. @housedemocrats wo…","7/27/2021, 7:19:53 AM"
t_1420026087631998985,Dwight Evans,D,PA,"rt @pahumanservices:  renters & landlords: avoid eviction loss utility service pa eviction freeze ends sat., july 31, 20…","7/27/2021, 7:19:36 AM"
t_1420025940432805894,David Trone,D,MD,recovery covid-19 needs innovative solutions collaboration levels government. a…,"7/27/2021, 7:19:01 AM"
t_1420025730361139217,Nydia Velázquez,D,NY,testimony gutting chilling. every single republican member congress bought trump's author…,"7/27/2021, 7:18:11 AM"
t_1420025572785278977,Adriano Espaillat,D,NY,rt @repespaillat: reminder: it’s 202 days domestic terrorists attacked u.s. capitol 138 house republicans voted overt…,"7/27/2021, 7:17:34 AM"
t_1420025497413689349,Blake Moore,R,UT,flying back miami cuba several years ago 1st time recognized firsthand shocking contrast betw…,"7/27/2021, 7:17:16 AM"
t_1420024973561843722,Frederica Wilson,D,FL,"sgt. gonell says fellow officers seeking medals recognition, truth accountability.…","7/27/2021, 7:15:11 AM"
t_1420024960727322626,Donald Beyer,D,VA,"trying fathom low say ""normal tourist visit.""","7/27/2021, 7:15:08 AM"
t_1420024927655141376,Donald Norcross,D,NJ,#americanrescueplan expanded #childtaxcredit deliver one significant reductions child pov…,"7/27/2021, 7:15:00 AM"
t_1420024927751589888,Sharice Davids,D,KS,now time invest infrastructure future. far many people can’t ne…,"7/27/2021, 7:15:00 AM"
t_1420024927814438912,Patty Murray,D,WA,thoughts former @senatorenzi's family loved ones today celebrate life. appreciated…,"7/27/2021, 7:15:00 AM"
t_1420024928435277824,Chip Roy,R,TX,“our diplomats apologizing chinese communist party racism beijing running concentration camp…,"7/27/2021, 7:15:00 AM"
t_1420024869891227656,Jake Auchincloss,D,MA,i’m chatting establishment stephen colbert presents @tooningout wednesday. toon in!,"7/27/2021, 7:14:46 AM"
t_1420024594971439109,Don Bacon,R,NE,"did ""imagine"" china hacking us firms? did ""imagine"" china threatening nuke japan? did ""imagine"" chin…","7/27/2021, 7:13:40 AM"
t_1420024564378177545,Sara Jacobs,D,CA,trapped house gallery 1/6. truth happened.,"7/27/2021, 7:13:33 AM"
t_1420024438742036480,Ted Cruz,R,TX,"release: sens. cruz, hawley, lee file amicus brief urging supreme court overrule roe v. wade planned parenth…","7/27/2021, 7:13:03 AM"
t_1420024407129460752,Val Demings,D,FL,"""we asking medals even recognition. simply want accountability justice.""","7/27/2021, 7:12:56 AM"
t_1420024201537376260,Paul Mitchell,I,MI,jan 6 special committee begins work today. independent bipartisan commission 9/11 commissio…,"7/27/2021, 7:12:07 AM"
t_1420024174651887627,Madeleine Dean,D,PA,"rt @repvaldemings: ""this country gave opportunity become anything wanted."" ""i raised hand several times protect and…","7/27/2021, 7:12:00 AM"
t_1420024161917968397,William Timmons,R,SC,rt @repcindyaxne: .@deptofdefense's skillbridge program helps connect veterans in-demand skills training civilian jobs s…,"7/27/2021, 7:11:57 AM"
t_1420024150232551433,Don Bacon,R,NE,rt @repmikejohnson: ⬆️ 45.1% gas prices ⬆️ 87.7% car rentals ⬆️ 5.6% milk ⬆️ 7.3% fruit americans footing bill biden presi…,"7/27/2021, 7:11:54 AM"
t_1420024064052183042,Robin Kelly,D,IL,"""i crushed rioters. feel losing oxygen recall thinking myself, is…","7/27/2021, 7:11:34 AM"
t_1420024043764428816,Theodore Deutch,D,FL,"rt @repteddeutch: years, calling european partners fully designate hezbollah terrorist organization. octobe…","7/27/2021, 7:11:29 AM"
t_1420024028056760329,Theodore Deutch,D,FL,rt @repteddeutch: distinction made btwn hezbollah's militant & political wings. yet countries still allow terr…,"7/27/2021, 7:11:25 AM"
t_1420023836595134471,Jody Hice,R,GA,rt @repandybiggsaz: .@replizcheney @repkinzinger effectively removed republican conference. help th…,"7/27/2021, 7:10:40 AM"
t_1420023825173991426,Ernest Gonzales,R,TX,inflation increased every month biden took office. democrats reckless spending costing americans mil…,"7/27/2021, 7:10:37 AM"
t_1420023669590396928,Mariannette Miller-Meeks,R,IA,happening now: @housevetaffairs health subcommittee hearing examining veterans' access home community based…,"7/27/2021, 7:10:00 AM"
t_1420023664641196036,Donald Beyer,D,VA,"rt @grace_segers: gonell, tearing up, says told wife hug returned home 4 a.m. chemicals on…","7/27/2021, 7:09:59 AM"
t_1420023605258342409,Daniel Kildee,D,MI,"thank brave police officers. thank protecting lives members, staff visitors jan…","7/27/2021, 7:09:44 AM"
t_1420023471887761413,Cynthia Axne,D,IA,"men women @iowanatguard protect communities every single day, service afford…","7/27/2021, 7:09:13 AM"
t_1420023473301241874,Cynthia Axne,D,IA,"thank @reptimmons, @repconorlamb , @reparmstrongnd, @reptimryan, @repbost, @repandykimnj, @repmmm,…","7/27/2021, 7:09:13 AM"
t_1420023470080077828,Cynthia Axne,D,IA,.@deptofdefense's skillbridge program helps connect veterans in-demand skills training civilian jobs t…,"7/27/2021, 7:09:12 AM"
t_1420023417902936074,Ernest Gonzales,R,TX,inflation increased every month biden took office. democrats reckless spending costing american’s mill…,"7/27/2021, 7:09:00 AM"
t_1420023404120444940,John Barrasso,R,WY,incredible honor great privilege wife bobbi serve people wyoming alongside…,"7/27/2021, 7:08:56 AM"
t_1420023393064300545,Frederica Wilson,D,FL,“i particularly shocked see insurrectionists violently attack us american flag c…,"7/27/2021, 7:08:54 AM"
t_1420023372260548612,Mike Lee,R,UT,"heart heavy mourn loss great mike enzi. friend west, friend freedom, an…","7/27/2021, 7:08:49 AM"
t_1420023333081567248,John Boozman,R,AR,mike enzi true statesman always guided deep faith profound love wyoming. humb…,"7/27/2021, 7:08:40 AM"
t_1420023317776539661,Donald Beyer,D,VA,"rt @ryanjreilly: emotional testimony, sergeant aquilino gonell says jan. 6 “something medieval battle. feel him…","7/27/2021, 7:08:36 AM"
t_1420023223534690309,John Barrasso,R,WY,mike problem solver & through. 100 enzi bills signed law four u.s. presidents.…,"7/27/2021, 7:08:13 AM"
t_1420023175015014416,Jahana Hayes,D,CT,"heard casework team killing it? need assistance passports, irs, social securit…","7/27/2021, 7:08:02 AM"
t_1420023110691135493,Adriano Espaillat,D,NY,"today, heroes january 6th finally tell us stories. owe – democracy – to…","7/27/2021, 7:07:46 AM"
t_1420022983662395398,John Barrasso,R,WY,wyoming nation lost one consequential public servants time. whether serving…,"7/27/2021, 7:07:16 AM"
t_1420022957619961856,Jim Hagedorn,R,MN,".@usda providing assistance minnesota farmers & livestock producers impacted ongoing, se…","7/27/2021, 7:07:10 AM"
t_1420022941627060235,Steve Daines,R,MT,red lodge actively battling wildfires yet radical groups delaying projects protect communities & re…,"7/27/2021, 7:07:06 AM"
t_1420022864846196746,John Cornyn,R,TX,via @nytimes,"7/27/2021, 7:06:48 AM"
t_1420022850661060614,Claudia Tenney,R,NY,reminder mobile office hours originally scheduled today bainbridge town offices mo…,"7/27/2021, 7:06:45 AM"
t_1420022824564056085,Bill Hagerty,R,TN,serving ranking member morning's @senateforeign hearing will consider several important…,"7/27/2021, 7:06:38 AM"
t_1420022753177001984,Maria Salazar,R,FL,thank colleague @repjeffduncan #southcarolina solidarity support freedom-lovi…,"7/27/2021, 7:06:21 AM"
t_1420022704313442306,Jason Smith,R,MO,"living fiscal nightmare. washington democrats don’t serious reining spending, will…","7/27/2021, 7:06:10 AM"
t_1420022694326722564,Tina Smith,D,MN,,"7/27/2021, 7:06:07 AM"
t_1420022671476236295,Gerald Connolly,D,VA,gop leadership gaslighting front steps u.s. capitol. now actively aiding a…,"7/27/2021, 7:06:02 AM"
